delta_A,bond_length_A,pred_energy_eV,atom_i_pred_force_norm_eV_per_A,atom_j_pred_force_norm_eV_per_A,mean_target_force_norm_eV_per_A,relative_energy_eV
0.0,1.4277863878015835,-16775.53843243875,0.3616357782493796,0.3877457667425645,0.374690772495972,0.0
0.1,1.5277863878015838,-16775.35233684339,2.3295749280594342,1.7655482979004775,2.047561612979956,0.1860955953598022
0.2,1.627786387801584,-16774.986723561662,3.445470390273769,2.389598791380706,2.9175345908272377,0.5517088770866394
0.3,1.727786387801583,-16774.530570347684,3.918998135893911,2.469358576657966,3.1941783562759385,1.0078620910644531
0.4,1.827786387801583,-16774.03844745912,4.0138759329864815,2.237022705873517,3.1254493194299995,1.4999849796295166
0.5,1.927786387801584,-16773.541827280897,3.9053301093040074,1.851660736188834,2.87849542274642,1.9966051578521729
0.6000000000000001,2.027786387801584,-16773.06145199098,3.643773304630589,1.3630093089061484,2.5033913067683686,2.476980447769165
0.7000000000000001,2.127786387801584,-16772.609690745252,3.2853602468447267,0.8442334395311077,2.064796843187917,2.928741693496704
0.8,2.227786387801583,-16772.206378538984,2.637937424459792,0.1885044126120764,1.413220918535934,3.332053899765014
0.9,2.3277863878015834,-16771.88777454652,1.7329414435070356,0.8028835063658671,1.2679124749364514,3.650657892227173
1.0,2.4277863878015835,-16771.666638214963,1.02991821255047,1.58121542786722,1.305566820208845,3.8717942237854
1.1,2.527786387801584,-16771.520991166013,0.8216287357412606,2.0836136379226984,1.4526211868319794,4.017441272735596
1.2000000000000002,2.627786387801584,-16771.42423804559,0.9168094528227484,2.4057764643304043,1.6612929585765763,4.114194393157959
1.3,2.727786387801584,-16771.362087567228,1.0734126068644625,2.6005674785999062,1.8369900427321844,4.176344871520996
1.4,2.8277863878015834,-16771.32049115457,1.1835805284193304,2.676893156059853,1.930236842239592,4.217941284179688
1.5,2.9277863878015835,-16771.289878209012,1.2640783997461158,2.70158898721166,1.982833693478888,4.248554229736328
1.6,3.027786387801584,-16771.266087849515,1.3324664438523848,2.7151966720827927,2.023831557967589,4.272344589233398
1.7000000000000002,3.127786387801584,-16771.24716313638,1.389444866758317,2.7257272111376705,2.057586038947994,4.291269302368164
1.8,3.227786387801583,-16771.23189576425,1.435088196024345,2.73408455277614,2.084586374400242,4.306536674499512
1.9,3.327786387801583,-16771.21913798608,1.4724260156777482,2.741629927015836,2.107027971346792,4.319294452667236
2.0,3.427786387801584,-16771.208350022214,1.5062369790051735,2.758563514209127,2.1324002466071503,4.330082416534424
